id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.CAD.price,quote.CAD.volume_24h,quote.CAD.volume_change_24h,quote.CAD.percent_change_1h,quote.CAD.percent_change_24h,quote.CAD.percent_change_7d,quote.CAD.percent_change_30d,quote.CAD.percent_change_60d,quote.CAD.percent_change_90d,quote.CAD.market_cap,quote.CAD.market_cap_dominance,quote.CAD.fully_diluted_market_cap,quote.CAD.tvl,quote.CAD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5805,Avalanche,AVAX,avalanche,750,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,393865959.12155896,443212329.12155896,False,,11,,,,2024-06-27T15:02:00.000Z,37.717873410547426,493653017.94790614,23.0582,0.42398002,6.03710356,0.81682658,-25.26559518,-20.50369783,-48.79855573,14855786386.87081,0.474,26996519577.002804,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
1958,TRON,TRX,tron,996,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87214910278.06209,87215029609.16496,True,,12,71659659264.0,8774186685.8645,,2024-06-27T15:02:00.000Z,0.1676491062472564,339106803.63659793,-14.2637,-0.39039595,-1.08140827,5.09567607,10.49011755,1.63044676,1.47953278,14621501759.551765,0.4665,14621521765.297976,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
5994,Shiba Inu,SHIB,shiba-inu,838,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271242368555.6,589519691711904.6,False,,13,,,,2024-06-27T15:02:00.000Z,2.3777695813466137e-05,295798954.55665845,-17.005,-0.9888226,-0.87864435,-4.23684307,-33.18601499,-30.05014144,-43.65286098,14011512352.662794,0.4469,14017419905.574802,,2024-06-27T15:02:05.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-06-27 11:03:49.317146
6636,Polkadot,DOT,polkadot-new,786,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1462029970.7202706,9158059908.208616,,2024-06-27T15:02:00.000Z,8.576622903674924,297174254.8600658,61.6191,1.40073051,6.05452904,9.79077077,-14.39744467,-8.66135345,-35.59062415,12332784333.890055,0.3932,12332784333.89332,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
1975,Chainlink,LINK,chainlink,1805,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-06-27T15:02:00.000Z,19.363162760084997,339836783.2251198,11.6349,0.19758781,1.36581976,-1.94369525,-21.02397104,-0.09102899,-26.37795589,11774738702.280186,0.3754,19363162760.08554,,2024-06-27T15:02:05.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-06-27 11:03:49.317146
1831,Bitcoin Cash,BCH,bitcoin-cash,899,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19725206.25,19725206.25,False,,16,,,,2024-06-27T15:02:00.000Z,527.9399507431381,329288452.0162959,-0.391,0.62388178,2.02335305,-0.80510146,-17.05620452,-19.61902306,-37.32123188,10413724416.02324,0.332,11086738965.609934,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
6535,NEAR Protocol,NEAR,near-protocol,424,2020-08-11T00:00:00.000Z,"['platform', 'ai-big-data', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'cross-chain', 'injective-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'account-abstraction', 'data-availability']",,1092355436.0,1197646990.0,False,,17,,,,2024-06-27T15:02:00.000Z,7.196566726308412,308995877.3855916,-1.3458,-0.87085713,0.82354037,-0.24345265,-31.34182716,-28.17068133,-25.94759116,7861208784.019718,0.2507,8618946478.101463,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
7083,Uniswap,UNI,uniswap,1052,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem', 'cmc-crypto-awards-2024']",,599957294.71,1000000000.0,False,,18,,,1.09660332,2024-06-27T15:02:00.000Z,13.017989817328568,185964292.41490114,23.0664,-0.46730349,1.48841503,-3.89260335,-11.53542641,16.95904628,-26.13960489,7810237953.366775,0.2492,13017989817.334366,7122208929.999812,2024-06-27T15:02:05.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2024-06-27 11:03:49.317146
3890,Polygon,MATIC,polygon,1411,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",,9884436601.520267,10000000000.0,False,,19,,,,2024-06-27T15:02:00.000Z,0.7705063087448525,265932106.8776649,8.4201,0.11122634,1.49590548,-2.37378036,-23.12534619,-23.28408295,-43.76931483,7616020759.859895,0.243,7705063087.445948,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
2,Litecoin,LTC,litecoin,1206,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,74688031.1075049,84000000.0,False,,20,,,,2024-06-27T15:03:00.000Z,98.95433508340352,391130068.09921736,8.4343,-0.21202718,1.45298513,-2.55374105,-12.80705946,-14.88044432,-31.63092384,7390704456.931705,0.2358,8312164147.002378,,2024-06-27T15:02:05.000Z,,,,,,2024-06-27 11:03:49.317146
